,Groceries,Food & Drink,Shopping,Schools,Entertainment,Fitness Facilities,Transportation,Libraries,Goods and Services,Crowded Housing,Health Ins,Poverty,Violent Crime,Property Crime,EduLessThanHS,Unemployment Rate,NTA_Name,NTA_Code,Location
118,0.05,1.0,0.0,0.05,0.0,0.8,0.0,0.0,0.55,0.187,0.8340000000000001,0.38799999999999996,0.06,0.099,0.355,0.18,Mount Hope,BX41,"{'lat': 37.89539, 'lng': -81.16427}"
119,0.35,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.172,0.846,0.294,0.055999999999999994,0.12,0.27699999999999997,0.14300000000000002,Norwood,BX43,"{'lat': 42.19454, 'lng': -71.1995}"
122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.084,0.893,0.17,0.028999999999999998,0.08199999999999999,0.18899999999999997,0.133,Parkchester,BX46,"{'lat': 40.83899, 'lng': -73.86041}"
124,0.2,1.0,0.35,0.75,1.0,1.0,1.0,0.0,1.0,0.031,0.9,0.16,0.025,0.054000000000000006,0.18,0.099,Schuylerville,BX52,"{'lat': 43.10008, 'lng': -73.58178}"
125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.031,0.9,0.16,0.025,0.054000000000000006,0.18,0.099,Throgs Neck,BX52,"{'lat': 40.8226, 'lng': -73.81958}"
126,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.031,0.9,0.16,0.025,0.054000000000000006,0.18,0.099,Edgewater Park,BX52,"{'lat': 40.06817, 'lng': -74.90072}"
128,0.0,1.0,0.65,0.05,1.0,1.0,0.0,0.0,1.0,0.163,0.789,0.355,0.063,0.146,0.41200000000000003,0.135,Bruckner,BX55,"{'lat': 47.83442, 'lng': 11.41299}"
129,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.121,0.857,0.228,0.052000000000000005,0.111,0.276,0.163,Westchester,BX59,"{'lat': 41.85059, 'lng': -87.882}"
130,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.121,0.857,0.228,0.052000000000000005,0.111,0.276,0.163,Unionport,BX59,"{'lat': 40.82732, 'lng': -73.85013}"
131,0.85,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.059000000000000004,0.862,0.155,0.057,0.091,0.16399999999999998,0.134,Woodlawn,BX62,"{'lat': 39.32288, 'lng': -76.72803}"
132,0.15,1.0,1.0,0.7,1.0,1.0,0.2,0.0,1.0,0.059000000000000004,0.862,0.155,0.057,0.091,0.16399999999999998,0.134,Wakefield,BX62,"{'lat': 53.68331, 'lng': -1.49768}"
135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,,,,,,,,Rikers Island,BX98,"{'lat': 40.79066, 'lng': -73.88097}"
137,0.0,0.85,0.05,0.1,0.1,1.0,0.2,0.0,0.45,0.14800000000000002,0.8290000000000001,0.26899999999999996,0.036000000000000004,0.08800000000000001,0.298,0.165,Marble Hill,MN01,"{'lat': 37.30589, 'lng': -89.97038}"
138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.14800000000000002,0.8290000000000001,0.26899999999999996,0.036000000000000004,0.08800000000000001,0.298,0.165,Inwood,MN01,"{'lat': 40.62205, 'lng': -73.7468}"
141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.08800000000000001,0.818,0.28800000000000003,0.046,0.105,0.263,0.12,Hamilton Heights,MN04,"{'lat': 40.82444, 'lng': -73.95}"
